,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Sachsen,Sachsen,LOC,0.00000000,0.31250000,de,6.40000000,,2842565.00000000,A,52.00000000,11.73330000,EUROPE,Deutschland,WCE
Erde,Erde,LOC,-0.03968254,0.00000000,de,6.30000000,,6295630.00000000,L,0.00000000,0.00000000,ATLANTIC,,EAO
Schleswig-Holstein,Schleswig-Holstein,LOC,-0.25454545,0.00000000,de,5.50000000,,2838632.00000000,A,54.20000000,9.75000000,EUROPE,Deutschland,NEU
Wärmewende,Wärmewende,LOC,0.00000000,0.00000000,de,5.50000000,,0.00000000,,,,,,
Australien,Australien,LOC,0.14848485,0.15151515,de,5.50000000,,2077456.00000000,A,-25.00000000,135.00000000,OCEANIA,Australien,CAU
Akku,Akku,LOC,0.76363636,0.00000000,de,5.50000000,,-1.00000000,,,,EUROPE,Kazakhstan,EEU
…,…,LOC,0.12727273,0.00000000,de,5.50000000,,0.00000000,,,,,,
München,München,LOC,-0.05434783,0.05434783,de,4.60000000,,2867714.00000000,P,48.13743000,11.57549000,EUROPE,Deutschland,WCE
Rostock,Rostock,LOC,0.00000000,0.00000000,de,4.60000000,,0.00000000,,,,,,
Stadt,Stadt,LOC,-0.21739130,0.00000000,de,4.60000000,,2950159.00000000,P,52.52437000,13.41053000,EUROPE,Deutschland,WCE
Stromnetze,Stromnetze,LOC,0.15217391,0.00000000,de,4.60000000,,0.00000000,,,,,,
Niedersachsen,Niedersachsen,LOC,0.00000000,0.00000000,de,4.60000000,,2862926.00000000,A,52.83333000,9.16667000,EUROPE,Deutschland,WCE
Landes,Landes,LOC,0.00000000,0.00000000,de,4.60000000,,3007868.00000000,L,44.25000000,-1.00000000,EUROPE-AFRICA,Frankreich,MED
Bund,Bund,LOC,0.18918919,0.27027027,de,3.70000000,,10519668.00000000,L,20.49241000,79.45535000,ASIA,Indien,SAS
Potsdam,Potsdam,LOC,-0.18918919,0.00000000,de,3.70000000,,2852458.00000000,P,52.39886000,13.06566000,EUROPE,Deutschland,WCE
Hitze,Hitze,LOC,-0.17567568,0.13513514,de,3.70000000,,2903464.00000000,S,50.36667000,12.00000000,EUROPE,Deutschland,WCE
Klimawandel,Klimawandel,LOC,0.37837838,0.00000000,de,3.70000000,,0.00000000,,,,,,
Italien,Italien,LOC,-0.28378378,0.13513514,de,3.70000000,,3175395.00000000,A,42.83333000,12.83333000,EUROPE-AFRICA,Italien,MED
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,-0.37837838,0.00000000,de,3.70000000,,2872567.00000000,A,53.83333000,12.50000000,EUROPE,Deutschland,WCE
Brasilien,Brasilien,LOC,0.13513514,0.13513514,de,3.70000000,,3469034.00000000,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brasilien,SAM
Hamm,Hamm,LOC,-0.01351351,0.40540541,de,3.70000000,4023168-9,-1.00000000,,,,EUROPE,Germany,WCE
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.32432432,0.13513514,de,3.70000000,,2886242.00000000,P,50.93333000,6.95000000,EUROPE,Deutschland,WCE
Schweiz,Schweiz,LOC,0.00000000,0.27027027,de,3.70000000,,2658434.00000000,A,47.00016000,8.01427000,EUROPE,Schweiz,WCE
Leipzig,Leipzig,LOC,-0.18918919,0.00000000,de,3.70000000,,2879139.00000000,P,51.33962000,12.37129000,EUROPE,Deutschland,WCE
Wien,Wien,LOC,0.12962963,0.37037037,de,3.60000000,,2761369.00000000,P,48.20849000,16.37208000,EUROPE,Österreich,WCE
Worms,Worms,LOC,0.00000000,0.00000000,de,2.80000000,4066942-7,-1.00000000,,,,EUROPE,Germany,WCE
Windräder,Windräder,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Förderstedt,Förderstedt,LOC,0.25000000,0.00000000,de,2.80000000,1081798629,-1.00000000,,,,EUROPE,Germany,WCE
Wassermangel,Wassermangel,LOC,-0.35714286,0.71428571,de,2.80000000,,-1.00000000,,,,EUROPE,Germany,WCE
USA,USA,LOC,0.00000000,0.35714286,de,2.80000000,,6255150.00000000,L,-14.60485000,-57.65625000,SOUTH-AMERICA,,SAM
Temperaturen,Temperaturen,LOC,-0.35714286,0.00000000,de,2.80000000,,0.00000000,,,,,,
US-Regierung,US-Regierung,LOC,-0.50000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
zweitwärmste,zweitwärmste,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Hessen,Hessen,LOC,0.00000000,0.00000000,de,2.80000000,,2905330.00000000,A,50.55000000,9.00000000,EUROPE,Deutschland,WCE
Milliardenhöhe,Milliardenhöhe,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Klimaschützer,Klimaschützer,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Chemnitz,Chemnitz,LOC,0.00000000,0.35714286,de,2.80000000,,2940132.00000000,P,50.83570000,12.92922000,EUROPE,Deutschland,WCE
Aralsee,Aralsee,LOC,0.00000000,0.17857143,de,2.80000000,4094809-2,-1.00000000,,,,EUROPE,Uzbekistan,EEU
Norderney,Norderney,LOC,0.00000000,0.00000000,de,2.80000000,,2862042.00000000,T,53.71417000,7.24150000,EUROPE,Deutschland,NEU
Rhein-Main-Gebiet,Rhein-Main-Gebiet,LOC,-0.06250000,0.17857143,de,2.80000000,,2847616.00000000,L,50.00000000,8.66667000,EUROPE,Deutschland,WCE
Baden-Württemberg,Baden-Württemberg,LOC,0.00000000,0.00000000,de,2.80000000,,2953481.00000000,A,48.50000000,9.00000000,EUROPE,Deutschland,WCE
Schottland,Schottland,LOC,0.00000000,0.00000000,de,2.80000000,4021159-9,2648579.00000000,P,55.86515000,-4.25763000,EUROPE,United Kingdom,NEU
Liebig Centre,Liebig Centre,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Spanien,Spanien,LOC,0.50000000,0.35714286,de,2.80000000,,2510769.00000000,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spanien,MED
NRW,NRW,LOC,0.00000000,0.00000000,de,2.80000000,,2886242.00000000,P,50.93333000,6.95000000,EUROPE,Deutschland,WCE
US-Präsident,US-Präsident,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Ostsee,Ostsee,LOC,0.35714286,0.00000000,de,2.80000000,,2919765.00000000,P,54.83503000,9.55218000,EUROPE,Deutschland,NEU
Halle,Halle,LOC,0.00000000,0.35714286,de,2.80000000,,2911522.00000000,P,51.48158000,11.97947000,EUROPE,Deutschland,WCE
Experten-Workshops,Experten-Workshops,LOC,0.36842105,0.00000000,de,1.90000000,,0.00000000,,,,,,
Angebotsvergleich,Angebotsvergleich,LOC,0.36842105,0.00000000,de,1.90000000,,0.00000000,,,,,,
Elektrofahrzeugen,Elektrofahrzeugen,LOC,0.73684211,0.00000000,de,1.90000000,,0.00000000,,,,,,
Kroatien,Kroatien,LOC,-0.36842105,0.00000000,de,1.90000000,,3202326.00000000,A,45.16667000,15.50000000,EUROPE,Kroatien,WCE
Strompreis,Strompreis,LOC,-0.07894737,0.00000000,de,1.90000000,,0.00000000,,,,,,
Hitzeschutz,Hitzeschutz,LOC,0.36842105,0.52631579,de,1.90000000,,0.00000000,,,,,,
Südfrankreich,Südfrankreich,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Defensivmodus,Defensivmodus,LOC,-0.73684211,0.00000000,de,1.90000000,,0.00000000,,,,,,
Rhein,Rhein,LOC,0.00000000,0.00000000,de,1.90000000,,12077024.00000000,L,49.31885000,8.77012000,EUROPE,Deutschland,WCE
Landscape Innovation Lab,Landscape Innovation Lab,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Potsdamer,Potsdamer,LOC,-0.26315789,0.26315789,de,1.90000000,,-1.00000000,,,,EUROPE,Germany,WCE
Kirschanbaus,Kirschanbaus,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Hitze-Liveblog,Hitze-Liveblog,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Lahn,Lahn,LOC,0.52631579,0.00000000,de,1.90000000,4034102-1,-1.00000000,,,,EUROPE,Germany,WCE
Kirschsaison,Kirschsaison,LOC,0.52631579,0.00000000,de,1.90000000,,0.00000000,,,,,,
Westeuropas,Westeuropas,LOC,-0.50000000,0.13157895,de,1.90000000,,0.00000000,,,,,,
unterdurchsch…,unterdurchsch…,LOC,0.73684211,0.00000000,de,1.90000000,,0.00000000,,,,,,
Wärmepumpen,Wärmepumpen,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
in­nen,in­nen,LOC,-0.73684211,0.00000000,de,1.90000000,,0.00000000,,,,,,
Endkunden,Endkunden,LOC,-1.05263158,0.00000000,de,1.90000000,,0.00000000,,,,,,
Starkregen,Starkregen,LOC,-1.05263158,0.00000000,de,1.90000000,,0.00000000,,,,,,
TIANJIN,TIANJIN,LOC,0.00000000,0.00000000,de,1.90000000,4198006-2,-1.00000000,,,,ASIA,China,EAS
Sachsen-Anhalts,Sachsen-Anhalts,LOC,0.36842105,0.00000000,de,1.90000000,,0.00000000,,,,,,
Ankara,Ankara,LOC,0.89473684,0.00000000,de,1.90000000,4002075-7,-1.00000000,,,,EUROPE-AFRICA,Turkey,MED
Rostock-Warnemünde,Rostock-Warnemünde,LOC,-0.36842105,0.00000000,de,1.90000000,4079046-0,-1.00000000,,,,EUROPE,,NEU
Linz,Linz,LOC,0.00000000,0.00000000,de,1.90000000,4074255-6,-1.00000000,,,,EUROPE,Austria,WCE
Wärmebereich,Wärmebereich,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Thailand,Thailand,LOC,-0.36842105,0.00000000,de,1.90000000,4078228-1,1605651.00000000,A,15.50000000,101.00000000,ASIA,Thailand,SEA
Küste,Küste,LOC,0.00000000,0.00000000,de,1.90000000,,2287781.00000000,A,8.00000000,-5.50000000,AFRICA,Elfenbeinküste,WAF
Vietnam,Vietnam,LOC,-0.36842105,0.00000000,de,1.90000000,4063514-4,-1.00000000,,,,ASIA,Vietnam,SEA
Northvolt-Gelände,Northvolt-Gelände,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Brandenburg,Brandenburg,LOC,0.00000000,0.00000000,de,1.90000000,,2945356.00000000,A,52.45905000,13.01582000,EUROPE,Deutschland,WCE
B,B,LOC,0.00000000,0.00000000,de,1.90000000,,3577757.00000000,S,18.44483000,-64.54297000,CENTRAL-AMERICA,British Virgin Islands,CAR
Hitzefrei-Tage,Hitzefrei-Tage,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Stuttgart,Stuttgart,LOC,0.00000000,0.00000000,de,1.90000000,,2825297.00000000,P,48.78232000,9.17702000,EUROPE,Deutschland,WCE
Grönlands,Grönlands,LOC,-0.15789474,0.00000000,de,1.90000000,,0.00000000,,,,,,
Landes hochsommerliche Temperaturen,Landes hochsommerliche Temperaturen,LOC,0.36842105,0.52631579,de,1.90000000,,0.00000000,,,,,,
Serbiens,Serbiens,LOC,0.00000000,1.05263158,de,1.90000000,,0.00000000,,,,,,
Ruhrgebiet,Ruhrgebiet,LOC,-0.52631579,0.00000000,de,1.90000000,4050926-6,2843198.00000000,L,51.41667000,7.00000000,EUROPE,Germany,WCE
Wärmepumpe,Wärmepumpe,LOC,0.36842105,0.00000000,de,1.90000000,,0.00000000,,,,,,
Bremen,Bremen,LOC,0.00000000,0.00000000,de,1.90000000,,2944388.00000000,P,53.07582000,8.80717000,EUROPE,Deutschland,NEU
Italiens,Italiens,LOC,-0.52631579,0.00000000,de,1.90000000,,6116880.00000000,H,46.36199000,-74.81286000,NORTH-AMERICA,Kanada,ENA
Luxus,Luxus,LOC,0.00000000,0.84210526,de,1.90000000,,0.00000000,,,,,,
Windkraft Nachholbedarf,Windkraft Nachholbedarf,LOC,-0.36842105,0.00000000,de,1.90000000,,0.00000000,,,,,,
Land,Land,LOC,-0.52631579,0.00000000,de,1.90000000,,3421288.00000000,L,81.90000000,-56.75000000,POLAR,Grönland,GIC
Altenberg,Altenberg,LOC,-1.05263158,0.00000000,de,1.90000000,4238828-4,-1.00000000,,,,EUROPE,Germany,WCE
Wetter-Regel,Wetter-Regel,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Polens,Polens,LOC,0.36842105,0.00000000,de,1.90000000,,-1.00000000,,,,EUROPE,Poland,WCE
Hamburgs,Hamburgs,LOC,0.00000000,0.00000000,de,1.90000000,4239189-1,2911298.00000000,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Moorburg,Moorburg,LOC,0.00000000,0.00000000,de,1.90000000,,-1.00000000,,,,EUROPE,Germany,NEU
Milliarden-Investitionen,Milliarden-Investitionen,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Eisenstadt,Eisenstadt,LOC,0.00000000,0.00000000,de,1.90000000,4014087-8,-1.00000000,,,,EUROPE,Austria,WCE
Afrikas,Afrikas,LOC,-0.12280702,0.00000000,de,1.90000000,,0.00000000,,,,,,
den USA,den USA,LOC,0.00000000,0.52631579,de,1.90000000,,2747373.00000000,P,52.07667000,4.29861000,EUROPE,Niederlande,NEU
ZEIT-Podcast,ZEIT-Podcast,LOC,0.52631579,0.52631579,de,1.90000000,,0.00000000,,,,,,
Australier,Australier,LOC,0.18421053,0.26315789,de,1.90000000,,0.00000000,,,,,,
Thüringen,Thüringen,LOC,0.00000000,1.05263158,de,1.90000000,,2822542.00000000,A,50.91667000,11.00000000,EUROPE,Deutschland,WCE
Nord-,Nord-,LOC,0.15789474,0.00000000,de,1.90000000,,0.00000000,,,,,,
deutschen Küste,deutschen Küste,LOC,0.73684211,0.00000000,de,1.90000000,,0.00000000,,,,,,
Finanzministerium,Finanzministerium,LOC,-0.12962963,0.18518519,de,1.80000000,,-1.00000000,,,,EUROPE,Austria,WCE
Lonza,Lonza,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,AFRICA,Democratic Republic of the Congo,NEAF
Vorjahres,Vorjahres,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
ORF-Wettermoderator,ORF-Wettermoderator,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Franken,Franken,LOC,0.00000000,0.00000000,de,1.00000000,,2803465.00000000,L,50.00000000,9.00000000,EUROPE,Deutschland,WCE
Tundra Westgrönlands,Tundra Westgrönlands,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Anbauer,Anbauer,LOC,-0.50000000,0.50000000,de,1.00000000,,0.00000000,,,,,,
Novartis,Novartis,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,ASIA,Philippines,SEA
Europas am Rhein,Europas am Rhein,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Landkre…,Landkre…,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Fränkische Schweiz,Fränkische Schweiz,LOC,0.70000000,0.00000000,de,1.00000000,4018035-9,-1.00000000,,,,EUROPE,Germany,WCE
Leuna,Leuna,LOC,0.70000000,0.00000000,de,1.00000000,4099566-5,-1.00000000,,,,EUROPE,Germany,WCE
Indien,Indien,LOC,0.00000000,0.00000000,de,1.00000000,,1269750.00000000,A,22.00000000,79.00000000,ASIA,Indien,SAS
Babelsberg,Babelsberg,LOC,0.00000000,0.00000000,de,1.00000000,4103249-4,-1.00000000,,,,EUROPE,Germany,WCE
arktischen Insel,arktischen Insel,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
D…,D…,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Solarforschern,Solarforschern,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Neuen Schlosses Schleißheim,Neuen Schlosses Schleißheim,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Oak Ridge National Laboratory,Oak Ridge National Laboratory,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,NORTH-AMERICA,United States,ENA
Tennessee,Tennessee,LOC,0.00000000,0.00000000,de,1.00000000,4119557-7,-1.00000000,,,,NORTH-AMERICA,United States,ENA
Bayerischen Landtags,Bayerischen Landtags,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Ohio,Ohio,LOC,0.00000000,0.00000000,de,1.00000000,4043387-0,-1.00000000,,,,NORTH-AMERICA,United States,ENA
Armonk,Armonk,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,NORTH-AMERICA,United States,ENA
Mainz,Mainz,LOC,0.00000000,0.00000000,de,1.00000000,4037124-4,-1.00000000,,,,EUROPE,Germany,WCE
Hannover,Hannover,LOC,0.00000000,0.00000000,de,1.00000000,,2910831.00000000,P,52.37052000,9.73322000,EUROPE,Deutschland,WCE
Nordsee,Nordsee,LOC,0.00000000,0.00000000,de,1.00000000,,2960848.00000000,H,55.33333000,3.00000000,EUROPE,,NEU
Neue Messdaten,Neue Messdaten,LOC,-0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
New Yo,New Yo,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,NORTH-AMERICA,United States,WNA
Potsdams Park Sanssouci,Potsdams Park Sanssouci,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Provence,Provence,LOC,0.00000000,0.00000000,de,1.00000000,4000860-5,-1.00000000,,,,EUROPE-AFRICA,France,MED
Alpiner Solarstrom,Alpiner Solarstrom,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Umweltminister,Umweltminister,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Ostchina,Ostchina,LOC,1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
der Schweiz,der Schweiz,LOC,0.00000000,0.00000000,de,1.00000000,,2661324.00000000,P,47.14035000,7.37175000,EUROPE,Switzerland,WCE
Strassen,Strassen,LOC,0.00000000,1.00000000,de,1.00000000,10112044-8,-1.00000000,,,,EUROPE,Luxembourg,WCE
Kernfusion,Kernfusion,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
ZEIT am Wochenende,ZEIT am Wochenende,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Stadt an der Lahn,Stadt an der Lahn,LOC,1.00000000,0.00000000,de,1.00000000,4012241-4,-1.00000000,,,,EUROPE,Germany,WCE
Verbraucher,Verbraucher,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Batteriespeicher-Hersteller Tesvolt,Batteriespeicher-Hersteller Tesvolt,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Speicherausbau,Speicherausbau,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Gemeinde,Gemeinde,LOC,0.00000000,0.00000000,de,1.00000000,1028367-5,-1.00000000,,,,EUROPE,Moldova,WCE
Offshore-Wind,Offshore-Wind,LOC,0.00000000,1.00000000,de,1.00000000,,0.00000000,,,,,,
Freistaat,Freistaat,LOC,0.00000000,0.00000000,de,1.00000000,,2822542.00000000,A,50.91667000,11.00000000,EUROPE,Deutschland,WCE
Windrädern,Windrädern,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Einfamilienhaus,Einfamilienhaus,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
E-Auto,E-Auto,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,PACIFIC,,SPO
Energiespeicher,Energiespeicher,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Ostdeutschland,Ostdeutschland,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Südkorea,Südkorea,LOC,0.00000000,0.00000000,de,1.00000000,,1835841.00000000,A,36.50000000,127.75000000,ASIA,Südkorea,EAS
Gravitationsspeicher,Gravitationsspeicher,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Wohnblöcke,Wohnblöcke,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Brennstoffzelle,Brennstoffzelle,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Offshore-Bereich,Offshore-Bereich,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
grüne Ex-Minister,grüne Ex-Minister,LOC,-0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
PV-Anlagen,PV-Anlagen,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Lithium,Lithium,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,NORTH-AMERICA,United States,ENA
Trampoline,Trampoline,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Einfamilienhäuser,Einfamilienhäuser,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Bauhofs,Bauhofs,LOC,1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Stromquellen,Stromquellen,LOC,0.00000000,1.00000000,de,1.00000000,,0.00000000,,,,,,
Augsburg,Augsburg,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Balkonkraftwerken,Balkonkraftwerken,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Doghouse ,Doghouse ,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Olching,Olching,LOC,0.00000000,1.00000000,de,1.00000000,4043447-3,-1.00000000,,,,EUROPE,Germany,WCE
Fortschritt,Fortschritt,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Kalifornien,Kalifornien,LOC,0.00000000,0.00000000,de,1.00000000,,11071615.00000000,L,34.68743000,-116.78467000,NORTH-AMERICA,USA,WNA
Republik,Republik,LOC,0.00000000,0.00000000,de,1.00000000,4017875-4,-1.00000000,,,,ASIA,Taiwan,EAS
Leistungstransformatoren,Leistungstransformatoren,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Bohrloch-Batterie,Bohrloch-Batterie,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Nachholbedarf,Nachholbedarf,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Gestiegene Stromkosten und Abwanderungspläne,Gestiegene Stromkosten und Abwanderungspläne,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Zentralasien,Zentralasien,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Photovoltaik,Photovoltaik,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Wasserstoff,Wasserstoff,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Kleczew,Kleczew,LOC,0.70000000,0.00000000,de,1.00000000,7749252-3,-1.00000000,,,,EUROPE,Poland,WCE
Ausbaustopp,Ausbaustopp,LOC,0.35000000,0.50000000,de,1.00000000,,0.00000000,,,,,,
Posen,Posen,LOC,0.70000000,0.00000000,de,1.00000000,4046868-9,-1.00000000,,,,EUROPE,Poland,WCE
Staat,Staat,LOC,-1.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE-AFRICA,Vatican,MED
Europa w…,Europa w…,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Ernteeinbußen,Ernteeinbußen,LOC,-0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Pozna,Pozna,LOC,0.70000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Germany,WCE
Nichtstun,Nichtstun,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Klima-Sozialfonds,Klima-Sozialfonds,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Bundesnetzagentur,Bundesnetzagentur,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Technologieoffen,Technologieoffen,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Ille-sur-Tet,Ille-sur-Tet,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE-AFRICA,France,MED
Perpignan,Perpignan,LOC,0.00000000,0.00000000,de,1.00000000,4045226-8,-1.00000000,,,,EUROPE-AFRICA,France,MED
Kapitalgejammer,Kapitalgejammer,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Oberbayern,Oberbayern,LOC,0.00000000,0.00000000,de,1.00000000,,2867714.00000000,P,48.13743000,11.57549000,EUROPE,Deutschland,WCE
Technologieunternehmen Qnetic,Technologieunternehmen Qnetic,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Schwungrad-Energiepeicher,Schwungrad-Energiepeicher,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Indonesien,Indonesien,LOC,0.00000000,0.00000000,de,1.00000000,,1643084.00000000,A,-5.00000000,120.00000000,ASIA,Indonesien,SEA
Waldbränden,Waldbränden,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Union,Union,LOC,0.00000000,0.00000000,de,1.00000000,,3584767.00000000,A,13.55000000,-87.90000000,CENTRAL-AMERICA,El Salvador,SCA
Energiesystems,Energiesystems,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Kurswechsels,Kurswechsels,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Solarbranche,Solarbranche,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
